796	iPhone 4	3	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	30.0	1	Black iPhone 4 for Verizon comes with charger
1330	iPhone 6 64gb Gold (Sprint)	3	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	305.0	1	Fully functional iPhone 6 64gb Rose Gold. Only has cosmetic scratches on back. The screen is immaculate with no lifting . - all buttons are fully functional. - comes with charging cord -charging cube -original box -headphones - ottorbox - apple stickers Only selling cause I upgraded to the iPhone 7.
1536	iPhone 6 Plus	2	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	310.0	1	iPhone 6 Plus US Cellular. Clean ESN. Excellent condition 16 GBIPhone 6Plus. US Cellular is the carrier. Just upgraded to new iPhone. 5.5 inch touch screen 16GB Space gray and Black Cross posted
1568	Nike iPhone 7 rubber case	1	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones		16.0	0	PRICE IS VERY FIRM , DONT ACCEPT ANY OFFER . DONT ASK FOR LOWER OR FREE SHIPPING . 1 case is [rm] 2 cases is [rm] 3 cases is [rm] 4 cases is [rm] Combine shipping [rm] for all cases o This Cover is a combination Of High Quality Dual Rubber case + Aluminum with UV printing on the back . o Photo Quality Print for beautiful definition . o High Quality , Slim and light weight make the case look very fashionable. o Easy Snap-On attachment with direct access to all buttons . **We have it available for all the phone size bellow , you can buy this listing and send Us a message for you phone size after order . iPhone 7 , 7 plus , 6/6S , iPhone 6 Plus/6S plus , IPhone SE/ 5/5S , iPhone 5C , iPhone 4/4S , IPod Touch 5. Samsung Galaxy Note 7 , note 5 , Note 4 , Note 3 , Note 2 N7100 , Samsung note Edge Samsung Galaxy S7, S7 Edge , S6 , S6 Edge , S6 Edge Plus , Galaxy S5 , S4 , S3 Htc One M9 , M8 Sony Xperia Z4 , Z3 , Z2 LG G5 , G4 , G3 ,G2
1593	iPhone 5c	3	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	34.0	0	Blue iPhone 5c Screen Was Recently Replaced And Started Glitching Every Time I turn it on everything else is fine unlocked phone
1748	Flawless AT&T iPhone 6	2	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	319.0	0	64 GB, silver, kept in otterbox its whole life, no scratches on screen sides or back. Just upgraded to iPhone 7, not iCloud locked. Only AT&T. No side texting I only communicate on the app.
1755	Straight Talk iPhone 5s	2	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	176.0	0	Had this phone for 1 month used with otterbox case. Great condition. ! No scratches or dents ! All the buttons work properly. Selling because I upgraded. 16 GB This phone service is straight talk. With this item you will receive: 1 silver iPhone 5s 1 Otterbox-It's a light color so the edges are stained. 1 iPhone 5s box 1 Apple charging cube 1 Apple charging cable
2514	Goyard Hardshell IPhone Case	1	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	15.0	1	Available for iPhone 6 6S, iPhone 7, iPhone 6 Plus / 6S Plus, and 7 Plus. ***Please message me before or after purchase of which phone size you have*** Ships next day from NYC with USPS Tracking :) If you have any questions please ask :))
2691	Smart Watch Black Bluetooth Brand New	1	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones		29.0	1	"This is a great inexpensive Smart Watch that does it all. ( Not a Apple Watch ) Compatible with: iPhones, Samsung, Androids Functions & Features: - 1.48"" touch screen TFT LCD & Bluetooth 3.0 - Sports Water Resistant - Pedometer - Bluetooth Music Player - Hands Free Phone Calls - SMS &MMS ( need App, only on Android ) - Stop Watch - Phone Book - calendar - Alarm Clock - Camera Remote ( Androids Only ) - Sleep Monitor Comes with Retail Box, Smart watch, USB cord, user manual Great gift idea, stocking stuffer, Fitbit"
2907	iPhone 4s 16GB Verizon &Sprint Unlocked	2	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Apple	49.0	0	Apple iPhone 4s .... your carrier must be Verizon or Sprint 16GB White CDMA compatible Carrier unlocked for Sprint & Verizon ( not AT&T or TMobile) ICloud unlocked Clean IMEI Everything Works ....Excellent Pre-owned Condition ! Comes with an Apple iPhone box , but not original box this phone came in ( box is IPhone 4,this is a 4S ! ) Perfect screen ... no cracks or scratches. Great deal for a fully functioning iPhone at a low low price !
